Gender,Male,,,,,,,,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,
total body weight (TBW),15,kg,,,,,,Male,Female,,"Usual: ????? 1 mg (1 mL) ?? NSS, D5W 250-1,000 mL",,,
Height,,cm,,,,,Ideal body weight (IBW), 50 kg + 2.3 kg x (Height (in) - 60),50 kg + 2.3 kg x (Height (in) - 60),,Concentration,Preparation Method,,Volume
IBW,,kg,,,,,,Height (cm) - 100,Height (cm) - 110,,1 mcg/mL,?? 1 mg (1 mL) ????????? 999 mL,,"1,000 mL"
LBW,,kg,,,,,Lean body weight (LBW),0.407 x Weight (kg) + 0.267 x Height (cm) - 19,0.252 x Weight (kg) + 0.473 x Height (cm) - 48.3,,4 mcg/mL,?? 1 mg (1 mL) ????????? 249 mL,,250 mL
,,,,,,,,,,,16 mcg/mL,?? 4 mg (4 mL) ????????? 246 mL,,250 mL
,,,,,,,,,,,64 mcg/mL,?? 16 mg (16 mL) ????????? 234 mL,,250 mL
weight,,Kg,,,,,,,,,60 mcg/mL,?? 6 mg (6 mL) ????????? 94 mL,,100 mL
,,,,,,,,,,,100 mcg/mL,?? 10 mg (10 mL) ????????? 100 mL,,100 mL
Emergency Medication,,,,,,,,,,,Ped Anaphylasix,?? 0.6 x BW  ????????? 100 mL  then drip rate 1 ml/hr (= 0.1 mcg/kg/min),,100 mL
Drug,Preparation,Dose (mg),Route,Reference,,,,,,,,,,
Epinephrine (Cardiac Arrest),Adrenaline 1 mg/mL (1:1000),1,IV/IO,AHA 2025,,,,,,,Norepinephrine IV Infusion Preparation,,,
Epinephrine (Anaphylaxis),Adrenaline 1 mg/mL (1:1000),0.5,IM,AHA 2025,,,,,,,"Ususal: ?? 1 vial ??? D5W , D5S ???????????????????? 62.5-1,000 mL",,,
Amiodarone,150 mg/3 ml,300,IV/IO,AHA 2025,,,,,,,Concentration,Preparation Method,,Volume
Lidocaine,2%w/v 10 mL (200 mg/10 mL), - 0,IV/IO,AHA 2025,,,,,,,8 mcg/mL,"????? 2 mg (2 mL) ?? D5W, D5S 250 mL",,250 mL
Atropine,0.6 mg/ml,1,IV/IO,AHA 2025,,,,,,,16 mcg/mL,"????? 4 mg (4 mL) ?? D5W, D5S 250 mL",,250 mL
Adenosine (1st dose),2 mg/2 ml,6,IV/IO,AHA 2025,,,,,,,32 mcg/mL,"????? 8 mg (8 mL) ?? D5W, D5S 250 mL",,250 mL
Adenosine (2nd dose),2 mg/2 ml,12,IV/IO,AHA 2025,,,,,,,40 mcg/mL,"????? 4 mg (4 mL) ?? D5W, D5S 100 mL",,100 mL
Dopamine (Bradycardia),250 mg/10 mL,,,,,,,,,,80 mcg/mL,"????? 8 mg (8 mL) ?? D5W, D5S 100 mL",,100 mL
Epinephrine (Bradycardia),Adrenaline 1 mg/mL (1:1000),,,,,,,,,,,,,
,,,,,,,,,,,Dopamine IV Infusion Preparation,,,
,,,,,,,,,,,Concentration,Preparation Method,,Volume
,,,,,,,,,,,1 mg/mL (1:1),?? 100 mg (4 mL) + D5W ???? NSS 96 mL,,100 mL
,,,,,,,,,,,2 mg/mL (2:1),?? 200 mg (8 mL) + D5W ???? NSS 92 mL,,100 mL
,,,,,,,,,,,,,,
Intotropic drug,,,,,,,,,,,Dobutamine IV Infusion Preparation,,,
Drug,Preparation,Initial dose,Max Dose,innitial rate (ml/hr),Max rate (ml/hr),How to prepare,Usual Concentration (Max),??????????????,Reference,,"?? 1 vial ????????? ?????? D5W, NSS, LRS, D5S, D5S/2 ???????????????????? 70-500 mL",,,
Epinephrine (mcg/kg/min),1 mg/mL (1:1000),0.05,2,0,0,?? 1 mg (1 mL) ????????? 249 mL (4 mcg/mL),1-4 mcg/mL (Max 16 mcg/mL),"D5W, D10W, D5S, D10S, D10S/2, D5S/2, 0.45%NSS, NSS, SWFI, LRS",AHA 2025 and CMU Phamabot,,Concentration,Preparation Method,,Volume
Norepinephrine (Cardiogenic shock),4 mg/4 mL (1 mg/mL),0.05,0.4,0,0,?? 1 vial (4 mg) ??? D5W ???? D5S 250 mL (16 mcg/mL),16-32 mcg/mL (Max 64 mcg/mL),"D5W, D5S (??????? NSS ??????)",AHA 2025 and CMU Phamabot,,1 mg/mL,?? 1 vial (250 mg) ????????????????????????????? 250 mL,,250 mL
"Norepinephrine (Post-cardiac arrest shock, septic)",4 mg/4 mL (1 mg/mL),0.05 - 0.15,3.3,0 - 0,0,?? 1 vial (4 mg) ??? D5W ???? D5S 250 mL (16 mcg/mL),16-32 mcg/mL (Max 64 mcg/mL),"D5W, D5S (??????? NSS ??????)",AHA 2025 and CMU Phamabot,,2 mg/mL,?? 2 vial (500 mg) ????????????????????????????? 250 mL,,250 mL
Dopamine IV infusion,250 mg/10 mL,2,20 (Max 50),0,0 (Max 0),?? 200 mg (8 mL) + D5W ???? NSS 92 mL (2:1) (2 mg/mL),1.6-3.2 mg/mL (Max 3.2 mg/mL),"NSS, D5W, D5S, D5S/2, LR, 5% Dextrose in LRS",AHA 2025 and CMU Phamabot,,4 mg/mL,?? 4 vial (1000 mg) ????????????????????????????? 250 mL,,250 mL
Dobutamine,250 mg/20 mL,2,20 (Max 40),0,0 (Max 0),?? 1 vial (250 mg) ????????????????????????????? 250 mL (1000 mcg/mL),0.5-4 mg/mL (Max 4 mg/mL),"D5W, NSS, LRS, D5S, D5S/2",AHA 2025 and CMU Phamabot,,,,,
Milrinone,Primacor 10 mg/10 mL,0.375,0.75,0,0,?? 10 mg (10 mL) ????????????????????????????? 100 mL (100 mcg/mL),100-200 mcg/mL (Max 200 mcg/mL),"NSS, NSS/2, D5W",AHA 2025 and CMU Phamabot,,Milrinone IV Infusion Preparation,,,
