Gestational Age :,,weeks,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug,Preparation,Preparation,Recommended Dose,Route,Calculated Dose,Calculated Volume,,Reference,,,,,,,,,,,,,,,,,,,
Epinephrine,"1:10,000 (0.1 mg/mL) ","Mix Adrenaline (1:1,000) 1mg/1mL with 9mL NSS",0.01 - 0.03 mg/kg (0.02 mg/kg),IV/IO,0 - 0 mg (0 mg),0 - 0 mL (0 mL),then 3 ml NSS flush,AHA/ERC 2025,,,,,,,,,,,,,,,,,,,
Epinephrine,"1:10,000 (0.1 mg/mL)","Mix Adrenaline (1:1,000) 1mg/1mL with 9mL NSS",0.05 - 0.1 mg/kg,ET,,,,AHA/ERC 2025,,,,,,,,,,,,,,,,,,,
Glucose,10% (100 mg/mL),,200 mg/kg,IV/IO,,,,AHA/ERC 2025,,,,,,,,,,,,,,,,,,,
Normal Saline,0.9% NaCl,,10 mL/kg,IV/IO,-,,,AHA/ERC 2025,,,,,,,,,,,,,,,,,,,
O Rh-negative blood,-,,10 mL/kg,IV/IO,-,,,AHA/ERC 2025,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment Name/Item,Size (based on weight/age),Insertion Depth/Length (Oral),Reference,,Gestation,Initial PIP (cm H2O),,,,,,,,,,,,,,,,,,,,,
Tracheal Tube,2.5 mm,6.0 - 7.0 cm,ERC 2025,,< 32 weeks,20 - 25,,,,,,,,,,,,,,,,,,,,,
Laryngeal Mask (SGA),-,only in GA >= 34 weeks or BW >= 2 kg,AHA/ERC 2025,,>= 32 weeks,25 - 30,,,,,,,,,,,,,,,,,,,,,
Umbilical Venous Catheter (UVC),3.5 Fr,2 - 4 cm,AHA 2025,,,,,,,,,,,,,,,,,,,,,,,,
Intraosseous (IO) needle,Device-specific,Proximal tibia / distal femur,AHA/ERC 2025,,Weight,Gestation,Suction Catheter Size,ET tube size (mm ID),Depth: NTL + 1,,,,,,,,,,,,,,,,,,
Suction Catheter,-,-,AHA 2025,,< 800 g,22-25 wks,5 Fr,2.5,,,,,,,,,,,,,,,,,,,
Laryngoscope Blade,-,-,-,,800 - 1200 g,26-28 wks,5 or 6 Fr,2.5,,,,,,,,,,,,,,,,,,,
Initial O2 Concentration,-,-,NCPR 2026,,1201 - 2200 g,29-34 wks,6 or 8 Fr,3,,,,,,,,,,,,,,,,,,,
Initial PIP (cm H2O),-,-,-,,> 2200 g,> 34 wks,8 Fr,3.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gestational Age,Initial O2 Concentration,Reference,Laryngoscope ,No.,,,,,,,,,,,,,,,,,,
,Equipment,Check,,,>= 35 weeks,21%,NCPR 2026,Term,1,,,,,,,,,,,,,,,,,,
,Radiant warmer / Thermal mattress,FALSE,,,32 - 34 weeks,21% - 30%,NCPR 2026,Preterm,0,,,,,,,,,,,,,,,,,,
,Plastic bag/wrap and hat,FALSE,,,< 32 weeks,30% - 100%,NCPR 2026,Very preterm,00,,,,,,,,,,,,,,,,,,
,Pulse oximeter and ECG leads,FALSE,,,Time after birth,Target SpO2,Reference,,,,,,,,,,,,,,,,,,,,
,T-piece resuscitator or Self-inflating bag,FALSE,,,2 min,65% - 70%,AHA 2025,,,,,,,,,,,,,,,,,,,,
,Appropriate sized face masks / nasal interfaces,FALSE,,,3 min,70% - 75%,AHA 2025,,,,,,,,,,,,,,,,,,,,
,Suction device and catheters,FALSE,,,4 min,75% - 80%,AHA 2025,,,,,,,,,,,,,,,,,,,,
,Laryngoscope (Video or Direct) and blades,FALSE,,,5 min,80% - 85%,AHA 2025,,,,,,,,,,,,,,,,,,,,
,Tracheal tubes and stylet,FALSE,,,10 min,85% - 95%,AHA 2025,,,,,,,,,,,,,,,,,,,,
,"Epinephrine (1:10,000) and Normal Saline",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Birthweight (grams),Gestation (weeks),Internal diameter (mm),Oral intubation length (cm),,,,,,,,,,,,,,,,,,,
,,,,,500,23-24,2.5,6,,,,,,,,,,,,,,,,,,,
,,,,,750,25-26,2.5,6.5,,,,,,,,,,,,,,,,,,,
,,,,,1000,27-29,2.5,7,,,,,,,,,,,,,,,,,,,
,,,,,1250,30-32,2.5,7.5,,,,,,,,,,,,,,,,,,,
,,,,,1500,30-32,2.5/3.0,7.5,,,,,,,,,,,,,,,,,,,
,,,,,1750,33-34,2.5/3.0,8,,,,,,,,,,,,,,,,,,,
,,,,,2000,35-36,3,8.5,,,,,,,,,,,,,,,,,,,
,,,,,2500,36-37,3,9,,,,,,,,,,,,,,,,,,,
,,,,,3000,37-39,3.0/3.5,9.5,,,,,,,,,,,,,,,,,,,
,,,,,3500,39-41,3.5,10,,,,,,,,,,,,,,,,,,,
,,,,,4000,41-43,3.5,10.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,UVC Sizing,Weight,,,,,,,,,,,,,,,,,,,,,
,,,,,3.5 Fr,< 1500 g,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0 Fr,>= 1500 g,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug,Preparation,Initial dose range (mcg/kg/min),Max Dose (mcg/kg/min),innitial rate (ml/hr),Max rate (ml/hr),How to prepare,Usual Concentration (Max),??????????????,Reference,,,,,,,,,,,,,,,,,,
Norepinephrine (Pulmonary hypertension),4 mg/4 mL,0.5,2,0,0,1 vial (4mg) + D5W 246 mL,16 mcg/mL,"D5W, D5S",,,,,,,,,,,,,,,,,,,
Norepinephrine (Septic shock),4 mg/4 mL,0.2,2,0,0,1 vial (4mg) + D5W 246 mL,16 mcg/mL,"D5W, D5S",,,,,,,,,,,,,,,,,,,
Dopamine (mcg/kg/min),250 mg/10 mL,2 - 20,30,0 - 0,0,Mix 200 mg (8 mL) with 92 mL NSS/D5W (2000 mcg/mL),1.6-3.2 mg/mL (Max 3.2 mg/mL),"NSS, D5W, D5S, LR",,,,,,,,,,,,,,,,,,,
Dobutamine (mcg/kg/min),250 mg/20 mL,2 - 25,25,0 - 0,0,"?? 1 vial ????????? ?????? D5W, NSS, LRS, D5S, D5S/2 ???????????????????? 70-500 mL (1000 mcg/mL)",1-4 mg/mL (Max 4 mg/mL),"D5W, NSS, LRS, D5S, D5S/2",,,,,,,,,,,,,,,,,,,
Isoproterenol,Isoprenaline 0.2 mg/mL,0.02 - 0.5,2,0 - 0,0,"?? 10 mL (2 mg) ??? D5W, NSS ???????????????????? 500 mL (4 mcg/mL)",5-20 mcg/mL (Max 20 mcg/mL),"D5W, NSS",,,,,,,,,,,,,,,,,,,
Milrinone,Primacor 10 mg/10 mL,0.375 - 0.75,0.75,0 - 0,0,"???????????? NSS, NSS/2, D5W ????????????????? 100, 150 ???? 200 mcg/mL (100 mcg/mL)",100-200 mcg/mL (Max 200 mcg/mL),"NSS, NSS/2, D5W",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
