,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,year,,,,,,,,,,Formular,,,,,,,,,,,,,,,
Calculated weight:,,kg,,,,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,,,,,,,,,,,
,,,,,,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,,,,,,,,,,,
,,,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medication,Preparation,Dose (mg/kg),Calculated Dose (mg),Maximum Dose (mg),Note,Route,Reference,,,,,Manula Calculator,,,,,,,,,,,,,,,
Epinephrine (Cardiac Arrest),Adrenaline 1 mg/mL (1:1000),0.01 mg/kg (0.1 ml/kg),0 mg (0 ml),1,"- Max dose: 1 mg (adult dose)
- ?? 1 mg (1 mL) ??? NSS , SWFI 9 mL (Adrenaline 1 : 10,000)",IV/IO,AHA 2025,,,,,Weight,,kg,,,,,,,,,,,,,
Epinephrine (Anaphylaxis),Adrenaline 1 mg/mL (1:1000),0.01,0,0.5,"Max dose: 0.5 mg
",IM,Thai Guidelines,,,,,Drug ,,mg,,,,,,,,,,,,,
Amiodarone,,5,0,300,,IV/IO,AHA 2025,,,,,Solution,,ml,,,,,,,,,,,,,
Lidocaine,,1,0,100,,IV/IO,AHA 2025,,,,,Concentration,,mg/ml (mcg/ml),,,,,,,,,,,,,
Atropine,,0.02,0,0.5 (Min: 0.1),,IV/IO,AHA 2025,,,,,Dose (rate),,mcg/kg/min,,,,,,,,,,,,,
Adenosine (1st dose),,0.1,0,6,,IV/IO,AHA 2025,,,,,Calculated drip rate,,ml/hr,,,,,,,,,,,,,
Adenosine (2nd dose),,0.2,0,12,,IV/IO,AHA 2025,,,,,,,,,,,,,,,,,,,,
Midazolam (Intranasal/Buccal),,0.3,0,10,,IN/Buccal,ERC 2025,,,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,,,,,,,,,,,,,
Midazolam (IV/IO),,0.1 - 0.2,0 - 0,10,,IV/IO,ERC 2025,,,,,"Ususal: ????? 1 mg (1 mL) ?? NSS, D5W 250-1,000 mL",,,,,,,,,,,,,,,
Lorazepam,,0.1,0,4,,IV/IO,ERC 2025,,,,,Concentration,Preparation Method,,Volume,,,,,,,,,,,,
Electrical Cardiversion,,Dose (mg/kg),Calculated Dose (mg),Maximum Dose (mg),Note,Route,Reference,,,,,10 mcg/mL,"????? 1 mg (1 mL) ?? NSS, D5W 100 mL",,100 mL,,,,,,,,,,,,
Defibrillation,1st shock,2,0,,,External,AHA 2025,,,,,16 mcg/mL,"????? 4 mg (4 mL) ?? NSS, D5W 250 mL",,250 mL,,,,,,,,,,,,
,2nd shock,4,0,,,External,AHA 2025,,,,,32 mcg/mL,"????? 8 mg (8 mL) ?? NSS, D5W 250 mL",,250 mL,,,,,,,,,,,,
Cardioversion,1st shock,0.5,0,,,External,AHA 2025,,,,,,,,,,,,,,,,,,,,
