,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,Male,,,,,,,,,Male,Female,,,,,,,,,,,,,,,,
total body weight (TBW),,kg,,,,,,,Ideal body weight (IBW), 50 kg + 2.3 kg x (Height (in) - 60),50 kg + 2.3 kg x (Height (in) - 60),,,,,,,,,,,,,,,,
Height,,cm,,,,,,,,Height (cm) - 100,Height (cm) - 110,,,,,,,,,,,,,,,,
IBW,,kg,,,,,,,Lean body weight (LBW),0.407 x Weight (kg) + 0.267 x Height (cm) - 19,0.252 x Weight (kg) + 0.473 x Height (cm) - 48.3,,,,,,,,,,,,,,,,
LBW,,kg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
weight,,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedation,Suggestion weight,Preperation,Dose (mg/kg),,,Dose (mg),,,Reference,,,,,,,,,,,,,,,,,,
,,,Min,Usual,Max,Min,Usual,Max,,,,,,,,,,,,,,,,,,,
Etomidate,LBW,,0.2,0.3,0.6,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Propofol,LBW,,1,1.5,2.5,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Ketamine,LBW,,0.5,1,2,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Midazolam,LBW,,0.05,0.2,0.3,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Fentanyl,,,N/A,1 mcg/kg,N/A,N/A,0. mcg,N/A,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
NMB (Paralytic drug),Suggestion weight,Preperation,Dose (mg/kg),,,Dose (mg),,,Reference,,,,,,,,,,,,,,,,,,
,,,Min,Usual,Max,Min,Usual,Max,,,,,,,,,,,,,,,,,,,
Succinylcholine,TBW,,0.6,1,1.5,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Rocuronium,LBW,,0.6,1,1.2,0 mg,0 mg,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Reversal agent,Suggestion weight,Preperation,Dose (mg/kg),,,Dose (mg),,,Reference,,,,,,,,,,,,,,,,,,
,,,Min,Usual,Max,Min,Usual,Max,,,,,,,,,,,,,,,,,,,
Sugammadex,,,2,-,16,0 mg,-,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Neostigmine,,,0.015,-,0.05,0 mg,-,0 mg,"Miller's Anesthesia, 10th Edition",,,,,,,,,,,,,,,,,,
Pre-optimization drug,Suggestion weight,Preperation,Dose (mg/kg),,,Dose (mg),,,Reference,,,,,,,,,,,,,,,,,,
,,,Min,Usual,Max,Min,Usual,Max,,,,,,,,,,,,,,,,,,,
Atropine (For Ped),,,N/A,0.02,1 mg,N/A,0 mg,1 mg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Drug,Induction Dose,Maintenance Regimen,Sedation / Other Uses,,,,,,,,,,,,,,,
,,,,,,,,,Propofol,"1–2.5 mg/kg IV (reduced for elderly
(2–3 mg/kg for children)","50–150 mcg/kg/min IV combined with nitrous oxide or an opiate;
alternatively 100–200 mcg/kg/min IV","- Sedation: 25–75 mcg/kg/min IV
maximal rate of 80 mcg/kg/min for long-term ICU sedation

- Antiemetic: 10–20 mg IV bolus (repeat every 5–10 min)
or 10 mcg/kg/min IV infusion

- Antiemetic: 10–20 mg IV bolus (repeat every 5–10 min)
or 10 mcg/kg/min IV infusion",,,,,,,,,,,,,,,
,,,,,,,,,Thiopental,3–4 mg/kg IV,50–100 mg IV every 10–12 minutes as required,N/A,,,,,,,,,,,,,,,
,,,,,,,,,Methohexital,1–1.5 mg/kg IV,"20–40 mg IV every 4–7 minutes as required
or a brief infusion of 50–150 mcg/kg/min","Pediatric Premedication: 20–25 mg/kg rectally
(as a 10% solution)",,,,,,,,,,,,,,,
,,,,,,,,,Midazolam,"0.05–0.15 mg/kg IV (premedicated)
up to 0.3 mg/kg IV (unpremedicated)",0.05 mg/kg IV as required,"- Sedation: 0.5–1 mg repeated incrementally,
or continuous infusion of 0.25–1 mcg/kg/min

- Pediatric Premedication: 0.025 mg/kg

- PONV Prophylaxis: 0.050–0.075 mg/kg IV at induction",,,,,,,,,,,,,,,
,,,,,,,,,Diazepam,0.3–0.5 mg/kg IV,0.1 mg/kg IV as required,Sedation: 2 mg repeated incrementally,,,,,,,,,,,,,,,
,,,,,,,,,Lorazepam,0.1 mg/kg IV,0.02 mg/kg IV as required,Sedation: 0.25 mg repeated incrementally,,,,,,,,,,,,,,,
,,,,,,,,,Remimazolam,2.5–5.0 mg (or 0.05 mg/kg) IV,"1 mg/kg/h IV
(alternative studied regimens include 6 mg/kg/h or 12 mg/kg/h)",Sedation: 2.5–5 mg repeated incrementally,,,,,,,,,,,,,,,
,,,,,,,,,Ketamine,0.5–2 mg/kg IV or 4–6 mg/kg IM,"- 0.5–1 mg/kg IV with 50% nitrous oxide
- infusions of 15–45 mcg/kg/min IV (50% to 70% in oxygen)
- 30–90 mcg/kg/min IV (without nitrous oxide)","- Sedation/Analgesia: 0.2–0.8 mg/kg IV slowly over 2–3 min, or 2–4 mg/kg IM
(0.1–0.6 mg/kg utilized for short procedures in the emergency department)

- Preventive Analgesia: 0.15–0.25 mg/kg IV (multimodal protocol: 20–60 mg) 

- Caudal Analgesia (Children): 0.5 mg/kg combined with local anesthetic

- Severe Depression: 0.5 mg/kg administered as a 40-minute infusion",,,,,,,,,,,,,,,
,,,,,,,,,Etomidate,"0.2–0.6 mg/kg IV
(0.3 mg/kg standard for rapid onset)",Infusion abandoned due to adrenocortical suppression,Sedation: Strictly limited to periods of brief sedation because it inhibits corticosteroid synthesis,,,,,,,,,,,,,,,
,,,,,,,,,Dexmedetomidine,N/A,"Intraoperative Sedation:
Loading dose of 1 mcg/kg over 10 min
followed by a maintenance infusion of 0.7 mcg/kg/min","- Premedication: 0.33–0.67 mcg/kg IV given 15 min before surgery
or 3–4 mcg/kg nasally/buccally in children 1 hour before surgery

- ICU Sedation: Loading dose of 0.5–1 mcg/kg (may be reduced or omitted)
followed by a continuous infusion of 0.1–1 mcg/kg/h

- Emergence Quality: 1 mcg/kg IV at the end of surgery

- Caudal Adjuvant (Children): 1 mcg/kg added to bupivacaine",,,,,,,,,,,,,,,
,,,,,,,,,Droperidol,N/A,N/A,"PONV Prophylaxis: 10–20 mcg/kg IV
(typically a low dose of 0.6–1.25 mg, keeping the dose below 1 mg is advised)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Medication / Class,Intubating Dose (mg/kg),"Continuous Infusion Dose (mcg/kg/min)
to Maintain 90%–95% Twitch Inhibition (Under N2O/O2)",Supplemental / Maintenance Dose,Dosing Calculations Basis & Key Notes,,,,,,,,,,,,,,
