,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,,year,,,,,,,,,,,1.หากรู้น้ำหนัก กรอก น้ำหนักในช่อง Weight ได้เลย,,,,Fluid,Volume,,,Self calculator,,,,,
Calculated weight:,,8,kg,Calculated weight formula: (Age x 2) + 8,,,,,,,,,,2. หากไม่ทราบน้ำหนัก กรอก อายุ ในช่อง Age แล้วนำ Calculated weight ไปกรอกในช่อง weight ,,,,0-10,1000.0,,,Dose,,mg/kg,BW,,kg
,,,,,,,,,,,,,,3. หาต้องการ คำนวณ IBW ใช้ calculator ใน RSI sheet,,,,11-20,500.0,,,Calculated Dose,,,,0,mg
Weight :,,20,kg,,,,,,,,,,,4. ช่องสีเขียวคือ Final order ตาม preperation ที่ใส่ไว้ กรณี preperation อื่น นำ mg ไปคำนวณ ช่อง local preperation เอง,,,,> 20,0.0,,,,,,,,
,,,,,,,,Max dose ไม่เกิน Adult Dose,,,,,,,,,,Total Volume,1500.0,,,Calculate the ml,,,,,
Medications,Route,Recommend Dose,,Unit,Dose (ml),,Unit,Max Dose,Preperation,Dose (ml),,Amount,Unit,Route and Frequency,Reference,,,MT Rate,62.5,ml / hr,,Local preparation,,mg,per,,ml
,,Lowest - Highest,,,Lowest - Highest,,,,,Lowest - Highest,,,,,,,,MT + 3%,87.5,,,Desired dose,,mg,,,ml
Supportive,,,,,,,,,,,,,,,,,,MT + 5%,104.2,,,,,,,,
Paracetamol Drop,PO,10 - 15,,MKDose,200 - 300,,mg/dose,500 mg/dose,60 mg / 0.6 ml,2,3,2 - 3,ml/dose,po prn q 4-6 hr,-,,,MT + 10%,145.8,,,,,,,,
Paracetamol Syrup,PO,10 - 15,,MKDose,200 - 300,,mg/dose,500 mg/dose,120 mg / 5 ml,8.3,12.5,8.3 - 12.5,ml/dose,po prn q 4-6 hr,-,,,,,,,,,,,,
Ibuprofen Syrup,PO,5 - 10,,MKDose,100 - 200,,mg/dose,Adult Dose,100 mg / 5 ml,5,10,5 - 10,ml/dose,po prn q 8 hr,-,,,High Flow,Flow,,,,,,,,
Skin,,,,,,,,,,,,,,,,,,0-10,20,,,,,,,,
Chlorpheniramine Syrup,PO,0.35,,MKDay,7,,mg/day,Adult Dose,2 mg / 5 ml,5.8,,5.8,ml/dose,po tid,-,,,>10,5,,,,,,,,
Steroid,,,,,,,,,,,,,,,,,,Total Flow,25,LPM,,,,,,,
Prednisolone (oral),PO,1 - 2,,MKDay,20 - 40,,mg/day,"- age < 2 year: 20 mg/day
- age 2-5 year: 30 mg/day
- age > 5 year: 40 mg/day",-,-,,-,mg/day,-,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Dexamethasone,PO,0.15 - 0.6,,MKDose,3 - 12,,mg/dose,Adult Dose,,-,,,,po OD ไม่เกิน 2 วัน,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
,IM/IV,0.6,,MKDose,12,,mg/dose,Adult Dose,5 mg / 1 ml,-,,12,mg/dose,IM/IV OD single dose,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Methylprednisolone,IV,1,,MKDose,20,,mg/dose,60 mg/dose,-,-,,20,mg/dose,IV q 6 hr,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Hydrocortisone (IV),IV,5,,MKDose,100,,mg/dose,250 mg/dose,-,-,,100,mg/dose,IV q 6 hr,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Respiratory,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berodual
(Fenoterol 1.25 mg + Ipratropium 0.5 mg)",NB,BW < 20 kg = 250 mcg/dose of Ipratropium (= 1/2 Nebule),,,-,,-,Adult Dose,-,-,,-,-,Berodual 1/2 NB (1 ml) + NSS or other drug upto 4 ml NB,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
,,BW > 20 kg = 500 mcg/dose of Ipratropium (= 1 Nebule),,,,,,,,,,,,Berodual  1 NB (2 ml) + NSS or other drug upto 4 ml NB,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Fluticasone (nebulized),NB,1,,mg/dose,1,,mg/dose,Adult Dose,50 mcg/1 dose,-,,1,g/dose,NB q 20 min (Max 3 time in first 1 hr),Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Ventolin (intermittent),NB,0.03,,mg/dose,3,,mg/dose,อายุ < 5 ปี ให้ 2.5 mg/dose,"0.5% solution
(5 mg/ 1 ml)",0.6,,0.6,ml/dose,ml + NSS up to 4 ml NB q 20 min in 1 hr with O2 flow : 6-8 LPM,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
,NB,2.5,,mg/dose,2.5,,mg/dose,อายุ < 5 ปี ให้ 2.5 mg/dose,"2.5 mg/ 2.5 ml
1 NB = 2.5 ml",2.5,,2.5,ml/dose,ml + NSS up to 4 ml NB q 20 min in 1 hr with O2 flow : 6-8 LPM,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Pulmicort (Budesonide) (nebulized),NB,0.5 - 1,,mg/dose,0.5 - 1,,mg/dose,2 mg/day,1 mg / 2 ml,,,1 - 2,ml/dose,ml +  NSS or other drug upto 4 ml NB q 20 min (Max 3 time in first 1 hr) and Max 2 mg/day,Thai CPG Ped Asthma 2020-2021,,,,,,,,,,,,
Bromhexine Syrup,PO,0.6 - 0.8,,MKDay,12 - 16,,mg/day,Adult Dose,4 mg / 5 ml,5,6.7,5 - 6.7,ml/dose,po tid,,,,,,,,,,,,,
Glyceryl Guaicolate Syrup,PO,,,,-,,,Adult Dose,-,,,,,po tid,,,,,,,,,,,,,
GI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondansetron,PO/IV,0.15,,MKDose,3,,mg/dose,Adult Dose,-,-,,3,mg/dose,IV/PO q 6-8 hr,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Domperidone Syrup,PO,0.1 - 0.2,,MKDose,2 - 4,,mg/dose,Adult Dose,1 mg / 1 ml,2,4,2 - 4,ml/dose,PO tid,,,,,,,,,,,,,
omeprazole,PO/IV,1,,MKDay,20,,mg/day,Adult Dose,-,-,,20,mg/dose,PO/IV OD,,,,,,,,,,,,,
Diosmectite,PO,6,,g/day,6000,,mg/day,Adult Dose,-,-,,2000,mg/dose,PO div 2-3 doses for 3-5 days,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
ORS,PO,"Deficit
Replacement",50,ml/kg (mild),-,,-,Adult Dose,-,1000,,1000,ml,1 ซอง ผสมน้ำ 250 ml จิบบ่อยๆ,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
,PO,,100,ml/kg (mod),-,,-,Adult Dose,-,2000,,2000,ml,1 ซอง ผสมน้ำ 250 ml จิบบ่อยๆ,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
,PO,"For on
going loss",5,ml / kg,-,,-,Adult Dose,-,100,,100,ml,PO per vomitting,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
,PO,,10,ml / kg,-,,-,Adult Dose,-,200,,200,ml,PO per watery stool,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Metoclopramide,PO,"Use with caution
- < 1 ปี 2.5 ml
- 1-3 ปี 5 ml
- 3-6 ปี 5-10 ml
> 6 ปี 10-20 ml",-,-,-,,-,Adult Dose,-,-,,-,-,PO,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Oral Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoxicillin (Standard Dose),PO,40 - 50,,MKDay,800 - 1000,,mg/day,1000 mg/dose,125 mg / 5 ml,16,20,16 - 20,ml/dose,PO bid po pc (Sinusitis/AOM) ( use 50 mg/kg/day for Pharyngitis),Thai URI PED 2019,,,,,,,,,,,,
Amoxicillin (High Dose),PO,80 - 90,,MKDay,1600 - 1800,,mg/day,1000 mg/dose,250 mg / 5 ml,16,18,16 - 18,ml/dose,PO bid po pc (Severe Sinusitis/AOM/Pneumonia),Thai URI PED 2019,,,,,,,,,,,,
Augmentin,PO,40 - 90,,MKDay,800 - 1800,,mg/day,1000 mg/dose,457 mg / 5 ml,4.4,9.8,4.4 - 9.8,ml/dose,PO bid po pc,Thai URI PED 2019,,,,,,,,,,,,
Ciprofloxacin,PO,20 - 40,,MKDay,400 - 800,,mg/day,750 mg/dose,100 mg / 5 ml,10,20,10 - 20,ml/dose,PO bid,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Norfloxacin,PO,15 - 20,,MKDay,300 - 400,,mg/day,Adult Dose,250 mg / 5 ml,3,4,3 - 4,ml/dose,PO bid,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Azithromycin,PO,10 - 20,,MKDay,200 - 400,,mg/day,500 mg/dose,100 mg / 5 ml,10,20,10 - 20,ml/dose,PO OD,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Doxycycline,PO,4.4,,MKDose,88,,mg/dose,100 mg/dose,200 mg / 5 ml,2.2,,2.2,ml/dose,PO once (Max 300 mg),Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Metronidazole,PO,15 - 50,,MKDay,300 - 1000,,mg/day,500 mg/dose,50 mg / 5 ml,10,33.3,10 - 33.3,ml/dose,PO tid-qid,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Vancomycin (oral),PO,40,,MKDay,800,,mg/day,500 mg/dose,200 mg / 5 ml,5,,5,ml/dose,PO qid for 10 days,Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Albendazole,PO,15,,MKDay,300,,mg/day,400 mg,250 mg / 5 ml,6,,6,ml/dose,PO OD for 5-7 days (Max 400 mg),Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Tinidazole,PO,50,,MKDay,1000,,mg/day,2 g,200 mg / 5 ml,25,,25,ml/dose,PO once or OD for 5 days (Max 2 g),Thai Acute diarrhea PED 2019,,,,,,,,,,,,
Cefixime,PO,8,,MKDay,160,,mg/day,Adult Dose,457 mg / 5 ml,0.9,,0.9,ml/dose,PO bid,,,,,,,,,,,,,
Oseltamivir อายุน้อยกว่ากว่า 1 ปี,PO,อายุ 0-1 mo Pre-term,1,MKDose,20,,mg/dose,75 mg/dose,250 mg / 5 ml,0.4,,0.4,ml/dose,PO bid for 5 days,Thai URI PED 2019,,,,,,,,,,,,
,,อายุ 0-1 mo Term,3,,60,,,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
,,อายุ 0-8 mo,3,,60,,,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
,,อายุ 9-11 mo,3.5,,70,,,,,1.4,,1.4,ml/dose,,,,,,,,,,,,,,
,,อายุ 12 mo,3,,60,,,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
Oseltamivir อายุมากกว่า 1 ปี,PO,30,75,,45,,,,,0.9,,0.9,ml/dose,,,,,,,,,,,,,,
IV Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceftriaxone,IV,50 - 100,,MKDay,1000 - 2000,,mg/day,2000 mg/dose,-,-,,1000 - 2000,mg/dose,IV OD,Thai AFI PED 2019,,,,,,,,,,,,
Cefotaxime,IV,100 - 200,,MKDay,2000 - 4000,,mg/day,Adult Dose,-,-,,667 - 1333,mg/dose,IV q 8 hr,Thai URI PED 2019,,,,,,,,,,,,
Ampicillin,IV,150 - 200,,MKDay,3000 - 4000,,mg/day,2000 mg/dose,-,-,,750 - 1000,mg/dose,IV q 6 hr,Thai URI PED 2019,,,,,,,,,,,,
Gentamicin,IV,5,,MKDay,100,,mg/day,Adult Dose,-,-,,100,mg/dose,IV OD,,,,,,,,,,,,,
Neuro,,,,,,,,,,,,,,,,,,,,,,,,,,,
For controle Seizure in in First 5-10 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorazepam,IV,,0.1,MKDose,2,,mg/dose,4 mg/dose,-,-,,2,mg/dose,IV stat ,Titin ed 9th,,,,,,,,,,,,
Diazepam,IV,0.3,,MKDose,6,,mg/dose,10 mg/dose,10 mg / 2 ml / vial,-,,6,mg/dose,"IV, Do not dilute, rate < 2 mg/min, repeat q 5-10 min",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,Rectal,0.5,,,10,,,,,,,10,mg/dose,"Rectal, Do not dilute",,,,,,,,,,,,,
Midazolam,IM,BW 13 - 40 kg,5,MKDose,5,,mg/dose,10 mg/dose,5 mg / 1 mL / vial,-,,5,mg/dose,"IM, Do not dilute","Thai Epilepsy Guidelines 2021
Titin ed 9th",,,,,,,,,,,,
,,BW > 40 kg,10,,10,,,,,,,10,mg/dose,"IM, Do not dilute",,,,,,,,,,,,,
,IV,0.1 - 0.2,,,2 - 4,,,,,,,2 - 4,mg/dose,"IV (rate 2-5 mg/min), Do not dilute",,,,,,,,,,,,,
,IN,0.2,,,4,,,,,,,4,mg/dose,"IN, Do not dilute",,,,,,,,,,,,,
,Buccal,0.5,,,10,,,,,,,10,mg/dose,"Buccal, Do not dilute",,,,,,,,,,,,,
For controle Seizure in First 10-30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenytoin,IV,loading,20,MKDose,400,,mg/dose,1500  mg/dose,250 mg / 5 ml / vial,-,,400,mg/dose,"250 mg + in NSS (only) Max Con 10 mg/ml, IV drip in 10 min (rate < 1 mg/kg/min)",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,5 - 8,MKDay,100 - 160,,mg/day,,,,,33.3 - 53.3,mg/dose,250 mg + in NSS (only) IV q 8 h,,,,,,,,,,,,,
Phenobarbital,IV,loading,20,MKDose,400,,mg/dose,1000  mg/dose,200 mg / 1 ml / vial,-,,400,mg/dose,"200 mg + Sterile water 10 ml then NSS, RL, 5%DWIV (rate < 2 mg/kg/min)",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,4 - 6,MKDay,80 - 120,,mg/day,,,-,,40 - 60,mg/dose,"200 mg + Sterile water 10 ml then NSS, RL, 5%DW IV q 12 h",,,,,,,,,,,,,
Sodium Valproate,IV,loading,20 - 40,MKDose,400 - 800,,mg/dose,NA,400 mg / 4 ml / vial,-,,400 - 800,mg/dose,400 mg + in NSS or 5%D/W IV (rate < 1-3 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,1 - 5,mg/kg/hr,20 - 100,,mg/hr,NA,,-,,20 - 100,mg/hr,400 mg + in NSS or 5%D/W IV  IV infusion,,,,,,,,,,,,,
Levetiracetam,IV,loading,20 - 60,MKDose,400 - 1200,,mg/dose,4000 mg/dose,500 mg / 5 ml / vial,-,,400 - 1200,mg/dose,"500 mg + in NSS, RL, 5%D/W IV (infusion > 15 min)",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,10 - 30,MKDose,200 - 600,,mg/dose,,,-,,200 - 600,mg/dose,"500 mg + in NSS, RL, 5%D/W IV q 12 h",,,,,,,,,,,,,
Lacosamide,IV,10,,MKDose,200,,mg/dose,20 mg/kg (Max 400 mg),200 mg / 20 ml / vial,-,,200,mg/dose,"200 mg + in NSS, RL, 5%D/W IV",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
For controle Refractory Seizure ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midazolam (Maintenance),IV,loading,0.2,MKDose,4,,mg/dose,Max 40 mg (2 mg/kg),5 mg / 1 mL / vial,-,,4,mg/dose,"5 mg + in NSS, 5%D/W IV",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,0.02 - 0.4,mg/kg/hr,0.4 - 8,,mg/hr,2 mg/kg/dose,,,,0.4 - 8,mg/hr,"5 mg + in NSS, 5%D/W IV",,,,,,,,,,,,,
Propofol,IV,loading,1 - 2,MKDose,20 - 40,,mg/dose,NA,200 mg/20ml/vial (no dilution),-,,20 - 40,mg/dose,200 mg no dilution IV (rate < 0.05 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,4 - 6,MKDay,80 - 120,,mg/day,NA,,,,40 - 60,mg/dose,200 mg no dilution IV q 12 h,,,,,,,,,,,,,
Thiopental,IV,loading,1 - 2,MKDose,20 - 40,,mg/dose,NA,1 g / vial,-,,20 - 40,mg/dose,"1 g mix in NSS, 5%DW, Sterile water to 2.5% solution IV (rate < 0.05 mg/kg/min)",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,3 - 5,mg/kg/hr,60 - 100,,mg/hr,NA,,-,,60 - 100,mg/hr,"1 g mix in NSS, 5%DW, Sterile water to 2.5% solution IV (rate < 0.05 mg/kg/min)",,,,,,,,,,,,,
Ketamine,IV,loading,0.5 - 2,MKDose,10 - 40,,mg/dose,NA,500 mg / 10 ml / vial,-,,10 - 40,mg/dose,"500 mg mix in NSS, 5%DW, Sterile water to <= 2 mg/ml IV",Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,,Maintenance,0.04,mg/kg/min,0.8,,mg/min,NA,,-,,0.8,mg/min,"500 mg mix in NSS, 5%DW, Sterile water to <= 2 mg/ml IV",,,,,,,,,,,,,
