,,,,,,,,,,,,,,,
Age :,,year,,,,,,,,Formular,,,,,
Calculated weight:,,kg,,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,
,,,,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,
Weight :,,kg,,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,
,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,
Emergency Medication,,,,,,,,,,,,,,,
Drug,Preparation,Dose (mg/kg),Maximum Dose (mg),Calculated Dose (mg),Calculated Dose (mL),Route,Reference,How to prepare,,,,,,,
Epinephrine (Cardiac Arrest),Adrenaline 1 mg/mL (1:1000),0.01,1,0,0,IV/IO,AHA 2025,"ยา 1 mg (1 mL) ผสม NSS , SWFI 9 mL (Adrenaline 1 : 10,000)",,,,,,,
Epinephrine (Anaphylaxis),Adrenaline 1 mg/mL (1:1000),0.01,0.5,0,,IM,Thai Guidelines,,,,,,,,
Epinephrine (Croup),Adrenaline 1 mg/mL (1:1000),0.5,5,0,,Nebulized,Thai Guidelines,,,Manula Calculator,,,,,
Amiodarone,,5,300,0,,IV/IO,AHA 2025,,,Weight,80,kg,,,
Lidocaine,,1,100,0,,IV/IO,AHA 2025,,,Drug ,4,mg,,,
Atropine,,0.02,0.5 (Min: 0.1),0,,IV/IO,AHA 2025,,,Solution,100,ml,,,
Adenosine (1st dose),,0.1,6,0,,IV/IO,AHA 2025,,,Concentration,0.04 (40 mcg/ml),mg/ml (mcg/ml),,,
Adenosine (2nd dose),,0.2,12,0,,IV/IO,AHA 2025,,,Dose (rate),0.05,mcg/kg/min,,,
Midazolam (Intranasal/Buccal),,0.3,10,0,,IN/Buccal,ERC 2025,,,Calculated drip rate,6,ml/hr,,,
Midazolam (IV/IO),,0.15,10,0,,IV/IO,ERC 2025,,,,,,,,
Diazepam (Rectal),,0.5,20,0,,PR,ERC 2025,,,,,,,,
Lorazepam,,0.1,4,0,,IV/IO,ERC 2025,,,,,,,,
Levetiracetam,,40 - 60,4500,0 - 0,,IV/IO,ERC 2025,,,,,,,,
Phenytoin,,20,1500,0,,IV,ERC 2025,,,,,,,,
Phenobarbital,,20,1000,0,,IV,ERC 2025,,,,,,,,
Valproic acid,,40,3000,0,,IV,ERC 2025,,,,,,,,
Defibrillation (1st shock),,2,,0,,External,AHA 2025,,,,,,,,
Defibrillation (2nd shock),,4,,0,,External,AHA 2025,,,,,,,,
Cardioversion (1st shock),,0.5,,0,,External,AHA 2025,,,,,,,,
Cardioversion (2nd shock),,2,,0,,External,AHA 2025,,,,,,,,
,,,,,,,,,,,,,,,
Continuous Drip,,,,,,,,,,,,,,,
Drug,Preparation,Initial range (mcg/kg/min),Max Dose (mcg/kg/min),innitial rate (ml/hr),Max rate (ml/hr),How to prepare,Usual Concentration (Max),สารน้ำที่แนะนำ,Reference,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,
