,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,month,Formular,,Age Estimated Weight (kg),,,,,,,Formular,,,,,,,,,,,,,
Calculated weight (For age 1-11 month):,,kg,(Age in months + 9) / 2,,1-11 mos (age in months + 9) / 2,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,,,,,,,,,
Calculated weight (For age >= 1 year):,,kg,(Age x 2) + 8,,1-4 yrs (age in years + 5) x 2,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,,,,,,,,,
,,,,,5-14 yrs Age in years x 4,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manula Calculator,,,,,,,,,,,,,
Normal V/S rang by Age,SBP (mmHg),MAP (mmHg),Heart rate (bpm),Respi Rate (RR),,,,,,,,Weight,,kg,,,,,,,,,,,
,,,,,,,,,,,,Drug ,,mg,,,,,,,,,,,
,,,,,,,,,,,,Solution,,ml,,,,,,,,,,,
Emergency Medication,Preparation,Dose (mg/kg),Calculated Dose (mg),Maximum Dose (mg),Note,Route,Reference,,,,,Concentration,,mg/ml (mcg/ml),,,,,,,,,,,
Epinephrine (Cardiac Arrest),Adrenaline 1 mg/mL (1:1000),0.01 mg/kg (0.1 ml/kg),0 mg (0 ml),1,"- Max dose: 1 mg (adult dose)
- ยา 1 mg (1 mL) ผสม NSS , SWFI 9 mL (Adrenaline 1 : 10,000)",IV/IO,AHA 2025,,,,,Dose (rate),,mcg/kg/min,,,,,,,,,,,
Epinephrine (Anaphylaxis),Adrenaline 1 mg/mL (1:1000),0.01,0,0.5,"Max dose: 0.5 mg",IM,Thai Guidelines,,,,,Calculated drip rate,,ml/hr,,,,,,,,,,,
Amiodarone,150 mg/3 ml,5,0,300 or 15 MKDay,,IV/IO,AHA 2025,,,,,,,,,,,,,,,,,,
Lidocaine,2%w/v 10 mL (200 mg/10 mL),1,0,100,,IV/IO,AHA 2025,,,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,,,,,,,,,,,
Atropine,0.6 mg/ml,0.02,0,0.5 (Min: 0.1),,IV/IO,AHA 2025,,,,,"Ususal: ผสมยา 1 mg (1 mL) ใน NSS, D5W 250-1,000 mL",,,,,,,,,,,,,
Adenosine (1st dose),2 mg/2 ml,0.1,0,6,,IV/IO,AHA 2025,,,,,Concentration,Preparation Method,,Volume,,,,,,,,,,
Adenosine (2nd dose),2 mg/2 ml,0.2,0,12,,IV/IO,AHA 2025,,,,,10 mcg/mL,"ผสมยา 1 mg (1 mL) ใน NSS, D5W 100 mL",,100 mL,,,,,,,,,,
